seg,rgn,greenland,island,segID,rgnID
RussianFederation2746,RUS,0,0,2746,113
RussianFederation2747,RUS,0,0,2747,113
RussianFederation2748,RUS,0,0,2748,113
RussianFederation2749,RUS,0,0,2749,113
RussianFederation2750,RUS,0,0,2750,113
RussianFederation9263,RUS,0,0,9263,113
RussianFederation2740,RUS,0,0,2740,113
RussianFederation2742,RUS,0,0,2742,113
RussianFederation2743,RUS,0,0,2743,113
RussianFederation2741,RUS,0,0,2741,113
RussianFederation2708,RUS,0,0,2708,113
RussianFederation2709,RUS,0,0,2709,113
RussianFederation2710,RUS,0,0,2710,113
RussianFederation2711,RUS,0,0,2711,113
RussianFederation2712,RUS,0,0,2712,113
RussianFederation9497,RUS,0,0,9497,113
RussianFederation9498,RUS,0,0,9498,113
RussianFederation9499,RUS,0,0,9499,113
RussianFederation2682,RUS,0,0,2682,113
RussianFederation2701,RUS,0,0,2701,113
RussianFederation2702,RUS,0,0,2702,113
RussianFederation2703,RUS,0,0,2703,113
RussianFederation2704,RUS,0,0,2704,113
RussianFederation2705,RUS,0,0,2705,113
RussianFederation2706,RUS,0,0,2706,113
RussianFederation2707,RUS,0,0,2707,113
RussianFederation9502,RUS,0,0,9502,113
RussianFederation9505,RUS,0,0,9505,113
RussianFederation9506,RUS,0,0,9506,113
RussianFederation9507,RUS,0,0,9507,113
RussianFederation2674,RUS,0,0,2674,113
RussianFederation2675,RUS,0,0,2675,113
RussianFederation2676,RUS,0,0,2676,113
RussianFederation2677,RUS,0,0,2677,113
RussianFederation2678,RUS,0,0,2678,113
RussianFederation2679,RUS,0,0,2679,113
RussianFederation2680,RUS,0,0,2680,113
RussianFederation2681,RUS,0,0,2681,113
RussianFederation9508,RUS,0,0,9508,113
RussianFederation9509,RUS,0,0,9509,113
RussianFederation9511,RUS,0,0,9511,113
RussianFederation9512,RUS,0,0,9512,113
RussianFederation2696,RUS,0,0,2696,113
RussianFederation2697,RUS,0,0,2697,113
RussianFederation2698,RUS,0,0,2698,113
RussianFederation2713,RUS,0,0,2713,113
RussianFederation2714,RUS,0,0,2714,113
RussianFederation2715,RUS,0,0,2715,113
RussianFederation9491,RUS,0,0,9491,113
RussianFederation9492,RUS,0,0,9492,113
RussianFederation9493,RUS,0,0,9493,113
RussianFederation9500,RUS,0,0,9500,113
RussianFederation2683,RUS,0,0,2683,113
RussianFederation2693,RUS,0,0,2693,113
RussianFederation2694,RUS,0,0,2694,113
RussianFederation2695,RUS,0,0,2695,113
RussianFederation2699,RUS,0,0,2699,113
RussianFederation2700,RUS,0,0,2700,113
RussianFederation2684,RUS,0,0,2684,113
RussianFederation2685,RUS,0,0,2685,113
RussianFederation2686,RUS,0,0,2686,113
RussianFederation2687,RUS,0,0,2687,113
RussianFederation2688,RUS,0,0,2688,113
RussianFederation2689,RUS,0,0,2689,113
RussianFederation2690,RUS,0,0,2690,113
RussianFederation2691,RUS,0,0,2691,113
RussianFederation2692,RUS,0,0,2692,113
RussianFederation2737,RUS,0,0,2737,113
RussianFederation2734,RUS,0,0,2734,113
RussianFederation2730,RUS,0,0,2730,113
RussianFederation2732,RUS,0,0,2732,113
RussianFederation2726,RUS,0,0,2726,113
RussianFederation2727,RUS,0,0,2727,113
RussianFederation2728,RUS,0,0,2728,113
RussianFederation2729,RUS,0,0,2729,113
RussianFederation9279,RUS,0,0,9279,113
RussianFederation9280,RUS,0,0,9280,113
RussianFederation9281,RUS,0,0,9281,113
RussianFederation2731,RUS,0,0,2731,113
RussianFederation2733,RUS,0,0,2733,113
RussianFederation2735,RUS,0,0,2735,113
RussianFederation2736,RUS,0,0,2736,113
RussianFederation9278,RUS,0,0,9278,113
RussianFederation2532,RUS,0,0,2532,113
RussianFederation2533,RUS,0,0,2533,113
RussianFederation2534,RUS,0,0,2534,113
RussianFederation2535,RUS,0,0,2535,113
RussianFederation2536,RUS,0,0,2536,113
RussianFederation2537,RUS,0,0,2537,113
RussianFederation2538,RUS,0,0,2538,113
RussianFederation2539,RUS,0,0,2539,113
RussianFederation2554,RUS,0,0,2554,113
RussianFederation2555,RUS,0,0,2555,113
RussianFederation2540,RUS,0,0,2540,113
RussianFederation2541,RUS,0,0,2541,113
RussianFederation2542,RUS,0,0,2542,113
RussianFederation2543,RUS,0,0,2543,113
RussianFederation2544,RUS,0,0,2544,113
RussianFederation2545,RUS,0,0,2545,113
RussianFederation2552,RUS,0,0,2552,113
RussianFederation2553,RUS,0,0,2553,113
RussianFederation11753,RUS,0,0,11753,113
RussianFederation2945,RUS,0,0,2945,113
RussianFederation2947,RUS,0,0,2947,113
RussianFederation2948,RUS,0,0,2948,113
RussianFederation2530,RUS,0,0,2530,113
RussianFederation2531,RUS,0,0,2531,113
RussianFederation2524,RUS,0,0,2524,113
RussianFederation2525,RUS,0,0,2525,113
RussianFederation2526,RUS,0,0,2526,113
RussianFederation2527,RUS,0,0,2527,113
RussianFederation2528,RUS,0,0,2528,113
RussianFederation2529,RUS,0,0,2529,113
RussianFederation11681,RUS,0,0,11681,113
RussianFederation2550,RUS,0,0,2550,113
