name,iso3,continent,patterns_area,patterns_gdp_2000,patterns_pop_2000,patterns_gdp_2100,patterns_pop_2100,scenario,source,source_id
Paraguay,PRY,South America,1.0314515829086304,1.022218942642212,1.0228544473648071,1.021973729133606,1.022300362586975,ssp1,MRI-ESM2-0,18
Qatar,QAT,Eurasia,1.0311001539230347,1.0304282903671265,1.0289572477340698,1.029272437095642,1.0294318199157715,ssp1,MRI-ESM2-0,18
Romania,ROU,Eurasia,0.9055589437484741,0.9281044602394104,0.9329215884208679,0.9321054220199585,0.9451104402542114,ssp1,MRI-ESM2-0,18
Russia,RUS,Eurasia,1.1929062604904175,0.9059491753578186,0.9787542223930359,0.9378693699836731,1.0126720666885376,ssp1,MRI-ESM2-0,18
Rwanda,RWA,Africa,1.2298433780670166,1.2435678243637085,1.240540862083435,1.2458419799804687,1.2422964572906494,ssp1,MRI-ESM2-0,18
W. Sahara,ESH,Africa,0.9731708765029907,0.43945083022117615,0.43945086002349854,0.45173174142837524,0.4447627067565918,ssp1,MRI-ESM2-0,18
Saudi Arabia,SAU,Eurasia,1.2098323106765747,1.1280220746994019,1.1364251375198364,1.1172564029693604,1.1384809017181396,ssp1,MRI-ESM2-0,18
Sudan,SDN,Africa,1.1950300931930542,1.1325266361236572,1.1429157257080078,1.0647944211959839,1.103377103805542,ssp1,MRI-ESM2-0,18
S. Sudan,SSD,Africa,1.2966364622116089,1.3216480016708374,1.307204008102417,1.2935885190963745,1.2967467308044434,ssp1,MRI-ESM2-0,18
Senegal,SEN,Africa,1.3200184106826782,1.1126201152801514,1.1770615577697754,1.2361078262329102,1.237487554550171,ssp1,MRI-ESM2-0,18
Solomon Is.,SLB,Australia,0.7338173985481262,0.731891930103302,0.73189777135849,0.7324556112289429,0.7331668138504028,ssp1,MRI-ESM2-0,18
Sierra Leone,SLE,Africa,1.0635205507278442,1.0022727251052856,1.0726600885391235,1.0955004692077637,1.0593985319137573,ssp1,MRI-ESM2-0,18
El Salvador,SLV,South America,1.0583150386810303,1.0284343957901,1.0501898527145386,1.0371816158294678,1.0391652584075928,ssp1,MRI-ESM2-0,18
Somalia,SOM,Africa,1.016700267791748,0.9410287737846375,1.022199273109436,0.9679956436157227,1.0278520584106445,ssp1,MRI-ESM2-0,18
Serbia,SRB,Eurasia,0.9744611382484436,0.9499433636665344,0.9582739472389221,0.9505320191383362,0.9609333872795105,ssp1,MRI-ESM2-0,18
Suriname,SUR,South America,0.9770506024360657,0.7696810960769653,0.7801826000213623,0.7590723037719727,0.7745633125305176,ssp1,MRI-ESM2-0,18
Slovakia,SVK,Eurasia,0.7369271516799927,0.742452085018158,0.7397058606147766,0.7411221861839294,0.739264726638794,ssp1,MRI-ESM2-0,18
Slovenia,SVN,Eurasia,0.8011728525161743,0.7851120233535767,0.8004900813102722,0.7822149991989136,0.7899407148361206,ssp1,MRI-ESM2-0,18
Sweden,SWE,Eurasia,0.5678480863571167,0.4860449433326721,0.494003027677536,0.490292489528656,0.49554821848869324,ssp1,MRI-ESM2-0,18
Swaziland,SWZ,Africa,1.0722209215164185,1.0744540691375732,1.0736316442489624,1.073771595954895,1.073191523551941,ssp1,MRI-ESM2-0,18
Syria,SYR,Eurasia,1.1626032590866089,1.139144778251648,1.130966067314148,1.1431543827056885,1.133579969406128,ssp1,MRI-ESM2-0,18
Chad,TCD,Africa,1.2458091974258423,1.2966792583465576,1.2938060760498047,1.299538254737854,1.2980308532714844,ssp1,MRI-ESM2-0,18
Togo,TGO,Africa,1.330670714378357,1.0966143608093262,1.1150215864181519,1.0978795289993286,1.1232329607009888,ssp1,MRI-ESM2-0,18
Thailand,THA,Eurasia,1.0802221298217773,1.0651228427886963,1.066284418106079,1.0461920499801636,1.056681513786316,ssp1,MRI-ESM2-0,18
Tajikistan,TJK,Eurasia,1.1928062438964844,1.2058284282684326,1.206668734550476,1.2303215265274048,1.213665246963501,ssp1,MRI-ESM2-0,18
Turkmenistan,TKM,Eurasia,1.0606409311294556,1.0899171829223633,1.0734460353851318,1.0702520608901978,1.0781234502792358,ssp1,MRI-ESM2-0,18
East Timor,TLS,Eurasia,0.8615793585777283,0.8627046942710876,0.8697771430015564,0.8667077422142029,0.8659964203834534,ssp1,MRI-ESM2-0,18
Trinidad and Tobago,TTO,South America,0.6705999374389648,0.6642390489578247,0.6642390489578247,0.6643061637878418,0.6643657088279724,ssp1,MRI-ESM2-0,18
Tunisia,TUN,Africa,1.06058669090271,1.0338798761367798,1.0458714962005615,1.031412959098816,1.0411326885223389,ssp1,MRI-ESM2-0,18
Turkey,TUR,Eurasia,1.1278659105300903,1.0501344203948975,1.056382417678833,1.0315552949905396,1.0458415746688843,ssp1,MRI-ESM2-0,18
Taiwan,TWN,Eurasia,0.7938912510871887,0.80938321352005,0.8085885047912598,0.8089531660079956,0.8074831962585449,ssp1,MRI-ESM2-0,18
