Year,FossilCO2,OtherCO2,CH4,N2O,SOx,CO,NMVOC,NOx,BC,OC,NH3,CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL
2039,14.92783321,0.872050999,511.1242138,9.165628046,49.76798998,1000.999938,250.4463349,51.97506,10.97450449,38.21307915,77.76293049,8.93124787,0.9767,0.217746172,0.33921,0.90339,0.590314726,247.98365,192.95559,91.87731,5.08283771,30.766235,8.70347,15.60072,0.25485,0.02718,0.093494912,0.684173334,10.99058,0,32.590916,33.989128,4.40297246,0.47693,0,0.5432,0.1217,122.964,5203.43809
2040,15.09165342,0.862338354,515.545705,9.244206554,49.78545792,1002.73395,250.8658559,52.01209221,11.00638786,38.29422685,78.1413688,8.7761193,0.9344,0.2083151,0.3183,0.8477,0.5756772,251.94196,192.2743,93.6298,5.0839052,31.381222,8.7075,14.8012,0.1707,0.0201,0.075055824,0.65442361,10.1234,0,20.28877,31.766544,3.6001414,0.4231,0,0.5193,0.1153,122.1898,5187.3248
2041,15.21925896,0.854898871,519.8885619,9.314734822,49.79580466,1002.064186,251.3807211,51.98041418,11.00032026,38.30272664,78.39863212,8.67684021,0.90733,0.202275713,0.3025,0.80562,0.571158232,254.948019,193.15595,94.95507,5.09883811,31.9342087,8.68817,14.28209,0.15651,0.01853,0.0697235,0.633957487,9.65632,0,18.44822429,30.4061322,3.34120265,0.39941,0,0.50294,0.11118,121.69434,5177.01263
2042,15.3468645,0.847459389,524.2314188,9.385263091,49.8061514,1001.394423,251.8955863,51.94873614,10.99425266,38.31122643,78.65589544,8.57756112,0.88026,0.196236326,0.2867,0.76354,0.566639264,257.954078,194.0376,96.28034,5.11377102,32.4871954,8.66884,13.76298,0.14232,0.01696,0.064391176,0.613491364,9.18924,0,16.60767858,29.0457204,3.0822639,0.37572,0,0.48658,0.10706,121.19888,5166.70046
2043,15.47447004,0.840019907,528.5742758,9.45579136,49.81649814,1000.724659,252.4104515,51.91705811,10.98818506,38.31972622,78.91315876,8.47828203,0.85319,0.190196939,0.2709,0.72146,0.562120296,260.960137,194.91925,97.60561,5.12870393,33.0401821,8.64951,13.24387,0.12813,0.01539,0.059058851,0.593025241,8.72216,0,14.76713287,27.6853086,2.82332515,0.35203,0,0.47022,0.10294,120.70342,5156.38829
2044,15.60207558,0.832580424,532.9171327,9.526319629,49.82684488,1000.054895,252.9253166,51.88538008,10.98211747,38.32822601,79.17042208,8.37900294,0.82612,0.184157552,0.2551,0.67938,0.557601328,263.966196,195.8009,98.93088,5.14363684,33.5931688,8.63018,12.72476,0.11394,0.01382,0.053726527,0.572559118,8.25508,0,12.92658716,26.3248968,2.5643864,0.32834,0,0.45386,0.09882,120.20796,5146.07612
2045,15.72968112,0.825140942,537.2599896,9.596847897,49.83719162,999.3851317,253.4401818,51.85370204,10.97604987,38.3367258,79.42768539,8.27972385,0.79905,0.178118165,0.2393,0.6373,0.55308236,266.972255,196.68255,100.25615,5.15856975,34.1461555,8.61085,12.20565,0.09975,0.01225,0.048394203,0.552092995,7.788,0,11.08604145,24.964485,2.30544765,0.30465,0,0.4375,0.0947,119.7125,5135.76395
2046,15.85728666,0.81770146,541.6028465,9.667376166,49.84753837,998.7153681,253.955047,51.82202401,10.96998227,38.34522559,79.68494871,8.18044476,0.77198,0.172078778,0.2235,0.59522,0.548563392,269.978314,197.5642,101.58142,5.17350266,34.6991422,8.59152,11.68654,0.08556,0.01068,0.043061879,0.531626872,7.32092,0,9.24549574,23.6040732,2.0465089,0.28096,0,0.42114,0.09058,119.21704,5125.45178
2047,15.9848922,0.810261977,545.9457035,9.737904435,49.85788511,998.0456044,254.4699122,51.79034597,10.96391467,38.35372538,79.94221203,8.08116567,0.74491,0.166039391,0.2077,0.55314,0.544044424,272.984373,198.44585,102.90669,5.18843557,35.2521289,8.57219,11.16743,0.07137,0.00911,0.037729555,0.511160749,6.85384,0,7.40495003,22.2436614,1.78757015,0.25727,0,0.40478,0.08646,118.72158,5115.13961
2048,16.11249774,0.802822495,550.2885604,9.808432703,49.86823185,997.3758408,254.9847774,51.75866794,10.95784707,38.36222517,80.19947535,7.98188658,0.71784,0.160000004,0.1919,0.51106,0.539525456,275.990432,199.3275,104.23196,5.20336848,35.8051156,8.55286,10.64832,0.05718,0.00754,0.03239723,0.490694626,6.38676,0,5.56440432,20.8832496,1.5286314,0.23358,0,0.38842,0.08234,118.22612,5104.82744
2049,16.24010328,0.795383013,554.6314173,9.878960972,49.87857859,996.7060771,255.4996426,51.72698991,10.95177947,38.37072496,80.45673867,7.88260749,0.69077,0.153960617,0.1761,0.46898,0.535006488,278.996491,200.20915,105.55723,5.21830139,36.3581023,8.53353,10.12921,0.04299,0.00597,0.027064906,0.470228503,5.91968,0,3.72385861,19.5228378,1.26969265,0.20989,0,0.37206,0.07822,117.73066,5094.51527
2050,16.36770882,0.78794353,558.9742742,9.949489241,49.88892533,996.0363135,256.0145078,51.69531187,10.94571187,38.37922475,80.71400199,7.7833284,0.6637,0.14792123,0.1603,0.4269,0.53048752,282.00255,201.0908,106.8825,5.2332343,36.911089,8.5142,9.6101,0.0288,0.0044,0.021732582,0.44976238,5.4526,0,1.8833129,18.162426,1.0107539,0.1862,0,0.3557,0.0741,117.2352,5084.2031
2051,16.46067851,0.794909544,563.3086997,10.0133193,49.6941776,993.4146635,255.6309221,51.50155948,10.90930242,38.2955354,80.89995626,7.71978898,0.64638,0.144059085,0.15272,0.40671,0.526054511,283.785038,201.34217,107.62355,5.19588404,37.3077316,8.51471,9.27305,0.02641,0.00406,0.020186656,0.435696317,5.20103,0,1.712466056,17.3846094,0.938056143,0.17577,0,0.34449,0.07145,116.9182,5077.60323
2052,16.55364819,0.801875557,567.6431252,10.07714936,49.49942986,990.7930134,255.2473364,51.30780708,10.87289297,38.21184605,81.08591054,7.65624956,0.62906,0.14019694,0.14514,0.38652,0.521621502,285.567526,201.59354,108.3646,5.15853378,37.7043742,8.51522,8.936,0.02402,0.00372,0.01864073,0.421630254,4.94946,0,1.541619212,16.6067928,0.865358386,0.16534,0,0.33328,0.0688,116.6012,5071.00336
2053,16.64661788,0.80884157,571.9775507,10.14097942,49.30468213,988.1713633,254.8637507,51.11405468,10.83648352,38.12815669,81.27186481,7.59271014,0.61174,0.136334795,0.13756,0.36633,0.517188493,287.350014,201.84491,109.10565,5.12118352,38.1010168,8.51573,8.59895,0.02163,0.00338,0.017094804,0.407564191,4.69789,0,1.370772368,15.8289762,0.792660629,0.15491,0,0.32207,0.06615,116.2842,5064.40349
2054,16.73958757,0.815807583,576.3119763,10.20480948,49.1099344,985.5497133,254.4801651,50.92030229,10.80007406,38.04446734,81.45781909,7.52917072,0.59442,0.13247265,0.12998,0.34614,0.512755484,289.132502,202.09628,109.8467,5.08383326,38.4976594,8.51624,8.2619,0.01924,0.00304,0.015548878,0.393498128,4.44632,0,1.199925524,15.0511596,0.719962872,0.14448,0,0.31086,0.0635,115.9672,5057.80362
2055,16.83255725,0.822773596,580.6464018,10.26863954,48.91518666,982.9280632,254.0965794,50.72654989,10.76366461,37.96077799,81.64377336,7.4656313,0.5771,0.128610505,0.1224,0.32595,0.508322475,290.91499,202.34765,110.58775,5.046483,38.894302,8.51675,7.92485,0.01685,0.0027,0.014002952,0.379432065,4.19475,0,1.02907868,14.273343,0.647265115,0.13405,0,0.29965,0.06085,115.6502,5051.20375
2056,16.92552694,0.82973961,584.9808273,10.3324696,48.72043893,980.3064132,253.7129937,50.53279749,10.72725516,37.87708863,81.82972764,7.40209188,0.55978,0.12474836,0.11482,0.30576,0.503889466,292.697478,202.59902,111.3288,5.00913274,39.2909446,8.51726,7.5878,0.01446,0.00236,0.012457026,0.365366002,3.94318,0,0.858231836,13.4955264,0.574567358,0.12362,0,0.28844,0.0582,115.3332,5044.60388
2057,17.01849663,0.836705623,589.3152528,10.39629966,48.52569119,977.6847631,253.3294081,50.3390451,10.6908457,37.79339928,82.01568191,7.33855246,0.54246,0.120886215,0.10724,0.28557,0.499456457,294.479966,202.85039,112.06985,4.97178248,39.6875872,8.51777,7.25075,0.01207,0.00202,0.0109111,0.351299939,3.69161,0,0.687384992,12.7177098,0.501869601,0.11319,0,0.27723,0.05555,115.0162,5038.00401
2058,17.11146631,0.843671636,593.6496783,10.46012972,48.33094346,975.0631131,252.9458224,50.1452927,10.65443625,37.70970993,82.20163619,7.27501304,0.52514,0.11702407,0.09966,0.26538,0.495023448,296.262454,203.10176,112.8109,4.93443222,40.0842298,8.51828,6.9137,0.00968,0.00168,0.009365174,0.337233876,3.44004,0,0.516538148,11.9398932,0.429171844,0.10276,0,0.26602,0.0529,114.6992,5031.40414
2059,17.204436,0.850637649,597.9841038,10.52395978,48.13619573,972.441463,252.5622367,49.9515403,10.6180268,37.62602057,82.38759046,7.21147362,0.50782,0.113161925,0.09208,0.24519,0.490590439,298.044942,203.35313,113.55195,4.89708196,40.4808724,8.51879,6.57665,0.00729,0.00134,0.007819249,0.323167813,3.18847,0,0.345691304,11.1620766,0.356474087,0.09233,0,0.25481,0.05025,114.3822,5024.80427
2060,17.29740569,0.857603663,602.3185293,10.58778983,47.94144799,969.819813,252.178651,49.75778791,10.58161735,37.54233122,82.57354474,7.1479342,0.4905,0.10929978,0.0845,0.225,0.48615743,299.82743,203.6045,114.293,4.8597317,40.877515,8.5193,6.2396,0.0049,0.001,0.006273323,0.30910175,2.9369,0,0.17484446,10.38426,0.28377633,0.0819,0,0.2436,0.0476,114.0652,5018.2044
2061,17.39475961,0.854984586,606.7996169,10.6505573,47.74006146,967.4970798,251.7006005,49.57351843,10.54384315,37.44419061,82.65804713,7.10727458,0.47941,0.106827132,0.08044,0.21419,0.483983905,301.735028,204.55202,115.22352,4.83178498,41.29773,8.52632,6.02076,0.00449,0.00092,0.005825228,0.299431331,2.80139,0,0.158985329,9.93955833,0.263361767,0.07732,0,0.23592,0.0459,113.86222,5013.98107
2062,17.49211353,0.852365509,611.2807045,10.71332476,47.53867494,965.1743466,251.22255,49.38924896,10.50606895,37.34605,82.74254951,7.06661496,0.46832,0.104354485,0.07638,0.20338,0.48181038,303.642626,205.49954,116.15404,4.80383826,41.717945,8.53334,5.80192,0.00408,0.00084,0.005377134,0.289760912,2.66588,0,0.143126197,9.49485666,0.242947203,0.07274,0,0.22824,0.0442,113.65924,5009.75774
2063,17.58946745,0.849746433,615.7617921,10.77609222,47.33728841,962.8516134,250.7444995,49.20497948,10.46829475,37.24790939,82.8270519,7.02595534,0.45723,0.101881837,0.07232,0.19257,0.479636855,305.550224,206.44706,117.08456,4.77589154,42.13816,8.54036,5.58308,0.00367,0.00076,0.004929039,0.280090493,2.53037,0,0.127267066,9.05015499,0.22253264,0.06816,0,0.22056,0.0425,113.45626,5005.53441
2064,17.68682137,0.847127356,620.2428798,10.83885968,47.13590188,960.5288802,250.2664489,49.02071,10.43052055,37.14976878,82.91155429,6.98529572,0.44614,0.09940919,0.06826,0.18176,0.47746333,307.457822,207.39458,118.01508,4.74794482,42.558375,8.54738,5.36424,0.00326,0.00068,0.004480945,0.270420074,2.39486,0,0.111407935,8.60545332,0.202118076,0.06358,0,0.21288,0.0408,113.25328,5001.31108
2065,17.78417529,0.84450828,624.7239674,10.90162715,46.93451535,958.206147,249.7883984,48.83644053,10.39274635,37.05162817,82.99605667,6.9446361,0.43505,0.096936542,0.0642,0.17095,0.475289805,309.36542,208.3421,118.9456,4.7199981,42.97859,8.5544,5.1454,0.00285,0.0006,0.00403285,0.260749655,2.25935,0,0.095548804,8.16075165,0.181703513,0.059,0,0.2052,0.0391,113.0503,4997.08775
2066,17.88152921,0.841889203,629.205055,10.96439461,46.73312882,955.8834138,249.3103479,48.65217105,10.35497215,36.95348755,83.08055906,6.90397648,0.42396,0.094463894,0.06014,0.16014,0.47311628,311.273018,209.28962,119.87612,4.69205138,43.398805,8.56142,4.92656,0.00244,0.00052,0.003584756,0.251079236,2.12384,0,0.079689672,7.71604998,0.16128895,0.05442,0,0.19752,0.0374,112.84732,4992.86442
2067,17.97888313,0.839270127,633.6861426,11.02716207,46.53174229,953.5606807,248.8322974,48.46790158,10.31719795,36.85534694,83.16506145,6.86331686,0.41287,0.091991247,0.05608,0.14933,0.470942755,313.180616,210.23714,120.80664,4.66410466,43.81902,8.56844,4.70772,0.00203,0.00044,0.003136661,0.241408817,1.98833,0,0.063830541,7.27134831,0.140874386,0.04984,0,0.18984,0.0357,112.64434,4988.64109
2068,18.07623705,0.83665105,638.1672303,11.08992953,46.33035576,951.2379475,248.3542469,48.2836321,10.27942376,36.75720633,83.24956383,6.82265724,0.40178,0.089518599,0.05202,0.13852,0.46876923,315.088214,211.18466,121.73716,4.63615794,44.239235,8.57546,4.48888,0.00162,0.00036,0.002688567,0.231738398,1.85282,0,0.04797141,6.82664664,0.120459823,0.04526,0,0.18216,0.034,112.44136,4984.41776
2069,18.17359097,0.834031974,642.6483179,11.152697,46.12896924,948.9152143,247.8761963,48.09936263,10.24164956,36.65906572,83.33406622,6.78199762,0.39069,0.087045952,0.04796,0.12771,0.466595705,316.995812,212.13218,122.66768,4.60821122,44.65945,8.58248,4.27004,0.00121,0.00028,0.002240472,0.222067979,1.71731,0,0.032112278,6.38194497,0.100045259,0.04068,0,0.17448,0.0323,112.23838,4980.19443
2070,18.27094489,0.831412897,647.1294055,11.21546446,45.92758271,946.5924811,247.3981458,47.91509315,10.20387536,36.56092511,83.41856861,6.741338,0.3796,0.084573304,0.0439,0.1169,0.46442218,318.90341,213.0797,123.5982,4.5802645,45.079665,8.5895,4.0512,0.0008,0.0002,0.001792378,0.21239756,1.5818,0,0.016253147,5.9372433,0.079630696,0.0361,0,0.1668,0.0306,112.0354,4975.9711
2071,18.36826642,0.825816297,651.7547103,11.2763521,45.70498212,944.5465119,246.8005105,47.72630119,10.15959503,36.46048262,83.44386368,6.71530824,0.37251,0.082997812,0.04178,0.11126,0.464557258,321.079493,215.00581,124.58139,4.56903783,45.5428175,8.60361,3.90912,0.00073,0.00018,0.00165795,0.205751345,1.50882,0,0.014775588,5.68298413,0.073907751,0.03408,0,0.16155,0.02951,111.90564,4973.26737
2072,18.46558795,0.820219698,656.380015,11.33723973,45.48238154,942.5005427,246.2028751,47.53750922,10.1153147,36.36004012,83.46915875,6.68927848,0.36542,0.081422319,0.03966,0.10562,0.464692336,323.255576,216.93192,125.56458,4.55781116,46.00597,8.61772,3.76704,0.00066,0.00016,0.001523521,0.19910513,1.43584,0,0.013298029,5.42872496,0.068184805,0.03206,0,0.1563,0.02842,111.77588,4970.56364
2073,18.56290948,0.814623098,661.0053198,11.39812737,45.25978096,940.4545735,245.6052398,47.34871726,10.07103437,36.25959763,83.49445382,6.66324872,0.35833,0.079846827,0.03754,0.09998,0.464827414,325.431659,218.85803,126.54777,4.54658449,46.4691225,8.63183,3.62496,0.00059,0.00014,0.001389093,0.192458915,1.36286,0,0.011820471,5.17446579,0.06246186,0.03004,0,0.15105,0.02733,111.64612,4967.85991
2074,18.660231,0.809026498,665.6306245,11.459015,45.03718038,938.4086043,245.0076044,47.15992529,10.02675404,36.15915513,83.5197489,6.63721896,0.35124,0.078271335,0.03542,0.09434,0.464962492,327.607742,220.78414,127.53096,4.53535782,46.932275,8.64594,3.48288,0.00052,0.00012,0.001254665,0.1858127,1.28988,0,0.010342912,4.92020662,0.056738915,0.02802,0,0.1458,0.02624,111.51636,4965.15618
2075,18.75755253,0.803429899,670.2559293,11.51990264,44.81457979,936.3626351,244.409969,46.97113333,9.982473712,36.05871264,83.54504397,6.6111892,0.34415,0.076695842,0.0333,0.0887,0.46509757,329.783825,222.71025,128.51415,4.52413115,47.3954275,8.66005,3.3408,0.00045,0.0001,0.001120236,0.179166485,1.2169,0,0.008865353,4.66594745,0.05101597,0.026,0,0.14055,0.02515,111.3866,4962.45245
2076,18.85487406,0.797833299,674.881234,11.58079027,44.59197921,934.3166659,243.8123337,46.78234136,9.938193383,35.95827015,83.57033904,6.58515944,0.33706,0.07512035,0.03118,0.08306,0.465232648,331.959908,224.63636,129.49734,4.51290448,47.85858,8.67416,3.19872,0.00038,8E-05,0.000985808,0.17252027,1.14392,0,0.007387794,4.41168828,0.045293024,0.02398,0,0.1353,0.02406,111.25684,4959.74872
2077,18.95219559,0.792236699,679.5065388,11.64167791,44.36937863,932.2706967,243.2146983,46.5935494,9.893913053,35.85782765,83.59563412,6.55912968,0.32997,0.073544858,0.02906,0.07742,0.465367726,334.135991,226.56247,130.48053,4.50167781,48.3217325,8.68827,3.05664,0.00031,6E-05,0.000851379,0.165874055,1.07094,0,0.005910235,4.15742911,0.039570079,0.02196,0,0.13005,0.02297,111.12708,4957.04499
2078,19.04951711,0.786640099,684.1318435,11.70256555,44.14677805,930.2247275,242.617063,46.40475743,9.849632724,35.75738516,83.62092919,6.53309992,0.32288,0.071969366,0.02694,0.07178,0.465502804,336.312074,228.48858,131.46372,4.49045114,48.784885,8.70238,2.91456,0.00024,4E-05,0.000716951,0.15922784,0.99796,0,0.004432676,3.90316994,0.033847134,0.01994,0,0.1248,0.02188,110.99732,4954.34126
2079,19.14683864,0.7810435,688.7571483,11.76345318,43.92417746,928.1787583,242.0194276,46.21596547,9.805352395,35.65694266,83.64622426,6.50707016,0.31579,0.070393873,0.02482,0.06614,0.465637882,338.488157,230.41469,132.44691,4.47922447,49.2480375,8.71649,2.77248,0.00017,2E-05,0.000582523,0.152581625,0.92498,0,0.002955118,3.64891077,0.028124188,0.01792,0,0.11955,0.02079,110.86756,4951.63753
2080,19.24416017,0.7754469,693.382453,11.82434082,43.70157688,926.1327891,241.4217923,46.0271735,9.761072065,35.55650017,83.67151934,6.4810404,0.3087,0.068818381,0.0227,0.0605,0.46577296,340.66424,232.3408,133.4301,4.4679978,49.71119,8.7306,2.6304,0.0001,0,0.000448094,0.14593541,0.852,0,0.001477559,3.3946516,0.022401243,0.0159,0,0.1143,0.0197,110.7378,4948.9338
2081,19.3715836,0.767855021,697.576527,11.89088229,43.51223065,925.4613132,240.8072834,45.93083567,9.729928673,35.47585854,83.89975244,6.43477082,0.29608,0.066006565,0.02159,0.05754,0.466620266,342.465234,234.59449,134.12343,4.46075324,50.1420424,8.76398,2.53814,0.00009,0,0.00042569,0.141363939,0.81269,0,0.00134622,3.24927085,0.020790643,0.01501,0,0.1107,0.01899,110.50681,4944.12776
2082,19.49900703,0.760263142,701.7706009,11.95742376,43.32288442,924.7898374,240.1927744,45.83449784,9.698785281,35.39521692,84.12798554,6.38850124,0.28346,0.063194749,0.02048,0.05458,0.467467572,344.266228,236.84818,134.81676,4.45350868,50.5728948,8.79736,2.44588,0.00008,0,0.000403285,0.136792468,0.77338,0,0.001214882,3.1038901,0.019180042,0.01412,0,0.1071,0.01828,110.27582,4939.32172
